date,Battery (Charging) -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Battery (Charging) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2022-02-01,0.00,734.84,6.89,0.00,0.01,206.19,300.31,0.00,0.00,318.42,38.00,314.23,42.60,26.25,10.20,622636.00,516.00,6.74,80985.19,208127.46,475.41,0.00,50479020.41,434353.40,0.00,357.72,15412819.06,25355027.75,0.00,0.00,17937501.85,2305635.63,10201635.95
2022-03-01,0.00,756.53,7.53,0.00,0.01,149.59,250.92,0.00,0.00,343.94,33.75,273.35,38.10,23.58,8.70,636927.83,560.90,7.70,59287.29,178471.83,482.07,0.00,40961390.68,365074.13,0.00,689.40,8919869.67,15498276.08,0.00,0.00,14966519.57,1376984.97,5614171.48
2022-04-01,0.00,581.37,7.97,0.00,0.01,201.33,266.19,0.00,0.00,277.44,27.14,238.90,31.90,19.18,6.40,496199.49,596.32,3.49,79580.42,187954.75,477.60,0.00,42021414.59,521043.67,0.00,361.12,14780773.05,20463862.52,0.00,0.00,16426204.33,1398279.00,6074756.95
2022-05-01,0.00,702.48,7.68,0.00,2.57,208.06,220.44,0.00,0.00,252.70,20.36,200.43,26.10,15.54,2.90,598460.87,578.28,1444.84,82178.66,147461.34,514.10,0.00,45084765.27,463214.36,0.00,160583.20,13051389.56,15390652.59,0.00,0.00,13956528.67,1026816.45,4833003.38
2022-06-01,0.00,503.12,8.69,0.00,0.01,350.63,375.57,0.00,0.00,263.61,18.67,160.07,22.90,14.08,2.20,434599.68,647.76,11.83,135777.31,261085.01,495.21,0.00,36090478.66,577947.81,0.00,572.41,24270756.30,28936653.60,0.00,0.00,15604169.15,1021075.03,3926003.21
2022-07-01,0.00,510.41,8.38,0.00,0.00,363.88,435.54,0.00,0.00,255.66,20.15,171.97,22.70,13.54,5.30,458014.52,622.88,1.52,140754.97,303203.77,511.10,0.00,39420277.46,603511.72,0.00,318.21,26574927.30,36330366.54,0.00,0.00,16288270.79,1221251.71,4864847.38
2022-08-01,0.00,481.92,7.12,0.00,0.01,350.16,440.56,0.00,0.00,299.20,24.95,220.28,23.30,12.79,2.60,423016.38,527.84,3.43,135713.91,314366.50,478.91,0.00,38323586.45,510974.46,0.00,313.64,26445544.39,37984072.83,0.00,0.00,20593885.94,1195980.41,4575987.32
2022-09-01,0.00,352.25,7.25,0.00,0.01,239.28,472.22,0.00,0.00,236.25,27.81,270.47,28.20,14.93,3.30,289643.19,533.96,4.54,91730.46,330776.17,443.90,0.00,27644336.37,529135.41,0.00,-138.67,18082224.64,41299707.10,0.00,0.00,15569084.17,1427457.92,6134870.97
2022-10-01,0.00,314.93,7.17,0.00,0.03,30.30,576.12,0.00,0.00,273.33,34.97,338.05,32.00,15.38,3.40,254523.37,528.53,19.09,11312.88,404430.43,425.94,0.00,25638090.37,542705.19,0.00,1104.17,1942903.92,51214744.25,0.00,0.00,20434177.47,1949451.95,7945784.26
2022-11-01,0.00,298.67,6.35,0.00,0.11,0.00,563.98,0.00,0.00,270.34,38.62,363.23,37.20,18.86,3.80,244086.46,473.01,91.29,0.58,391033.01,412.43,0.00,24272157.84,451726.32,0.00,60336.19,140.28,50028218.13,0.00,0.00,18763314.50,1803957.78,7248852.65
2022-12-01,0.00,353.57,7.24,0.00,0.01,120.38,515.40,0.00,0.00,325.01,46.29,407.09,36.70,22.82,11.00,292750.05,541.90,4.39,46813.87,358686.84,393.69,0.00,29434085.12,515971.10,0.00,302.04,9364851.41,46351953.03,0.00,0.00,22996652.85,2461270.81,10334096.04
2023-01-01,0.00,522.41,7.74,0.00,0.01,208.03,370.29,0.00,0.00,371.30,45.48,422.75,40.50,25.19,12.80,440935.18,577.41,5.86,80680.43,262283.39,402.71,0.00,40895829.39,524327.85,0.00,892.42,16851088.72,30286791.75,0.00,0.00,24380608.22,2685733.87,11610311.14
2023-02-01,0.00,588.93,6.98,0.00,0.05,225.47,247.52,0.00,0.00,330.56,38.91,357.71,38.80,24.70,10.80,498535.15,519.78,32.25,87310.77,178316.71,425.76,0.00,46495560.85,513170.72,0.00,7684.67,18367860.53,22275691.86,0.00,0.00,23374057.22,2483769.19,11302777.33
2023-03-01,0.00,610.27,7.64,0.00,0.09,240.28,302.34,0.00,0.00,271.76,34.16,334.75,37.90,22.72,11.50,507559.90,572.93,78.19,93352.01,210375.82,450.76,0.00,53600924.10,625088.57,0.00,8573.77,22436977.66,29745963.12,0.00,0.00,20941494.70,2379187.55,11518149.06
2023-04-01,0.00,473.64,7.29,0.00,0.04,268.03,326.81,0.00,0.00,205.79,28.30,253.39,30.80,17.17,5.50,398300.36,544.14,30.83,104161.74,234898.76,472.04,0.00,42606958.40,622836.88,0.00,2503.84,24592380.12,31706194.64,0.00,0.00,16835757.74,1848756.67,7345955.68
2023-05-01,0.00,512.89,8.24,0.00,4.21,307.59,329.14,0.00,0.00,274.36,20.89,211.86,28.10,15.82,1.20,424032.89,613.02,2365.91,119519.30,234575.65,467.96,0.00,49841624.92,752938.68,0.00,308774.82,31505255.82,39347710.81,0.00,0.00,21560633.05,1370849.75,6413066.18
2023-06-01,0.00,570.55,7.95,0.00,0.53,361.54,491.92,0.00,0.00,187.57,17.74,175.61,20.50,11.59,-0.50,469790.89,591.61,475.42,139984.54,340417.93,524.57,0.00,77678283.36,1035344.41,0.00,194794.93,49646343.39,83509708.29,0.00,0.00,21778376.75,1693312.26,7369574.72
2023-07-01,0.00,603.56,7.71,0.00,0.01,301.00,436.08,0.00,0.00,249.08,20.52,194.89,21.30,13.27,3.30,507013.69,572.77,3.74,117163.83,311358.94,516.38,0.00,64133159.64,796869.78,0.00,565.96,33286410.37,55634831.30,0.00,0.00,22238244.15,1575596.28,6525353.48
2023-08-01,0.00,502.73,7.62,0.00,0.01,328.70,445.08,0.00,0.00,214.39,26.67,259.12,29.90,13.65,3.10,438319.15,566.49,8.18,127596.25,308377.10,490.31,0.00,52450725.82,741059.52,0.00,1003.78,34055379.80,49436467.77,0.00,0.00,19298668.67,2031870.50,9168862.01
2023-09-01,-0.21,349.25,6.94,0.00,0.00,279.82,344.95,0.18,0.00,231.14,26.41,288.67,34.90,16.31,5.60,286192.36,514.49,5.19,108693.80,243572.74,418.41,2748.45,25365479.12,453342.27,0.00,130.92,22088001.08,27900689.88,3219.65,0.00,14928360.38,1224436.42,4321530.64
2023-10-01,-1.76,481.08,6.93,0.00,0.25,154.28,267.19,1.31,0.00,298.35,40.03,390.28,36.30,19.07,5.40,411436.89,518.24,288.20,60638.32,217668.36,421.60,85699.37,45892511.45,547754.05,0.00,68488.21,16063665.51,33188384.63,181317.46,0.00,24960318.68,1703880.04,5575569.22
2023-11-01,0.00,764.03,9.87,0.00,0.68,264.51,405.22,0.00,0.00,423.05,53.99,387.66,39.00,23.55,12.30,658788.44,733.79,690.83,104013.24,315301.40,467.53,0.00,97746879.13,1117924.06,0.00,288008.82,36430460.98,70664721.48,0.00,0.00,42083855.85,4539101.93,11689517.65
2023-12-01,-4.13,548.22,7.36,0.00,0.28,189.07,294.35,3.43,0.00,357.29,38.31,457.61,37.80,24.40,13.00,452075.71,546.08,396.24,74305.64,233546.40,402.20,53754.68,49544432.18,549750.24,0.00,170338.02,20958436.54,34389351.08,525150.81,0.00,29045290.81,2402086.08,13568009.10
2024-01-01,-7.64,639.96,6.46,0.00,7.58,172.63,381.05,6.36,0.00,327.13,34.33,466.75,42.70,25.78,12.90,529849.99,487.45,4513.53,68228.02,271870.19,430.03,258282.26,62060474.40,506428.09,0.00,625181.79,20262727.67,47910004.16,1320350.26,0.00,26476844.17,2444793.70,19640606.52
2024-02-01,-8.08,645.44,5.98,0.00,1.31,233.98,436.35,6.77,0.00,328.04,33.45,396.00,43.50,27.02,13.90,540531.12,449.23,1201.66,91463.23,310084.01,453.88,377096.41,63378403.96,449739.51,0.00,322732.09,24273022.65,50616557.75,1089272.86,0.00,22132473.33,3229803.96,20915073.20
2024-03-01,-9.83,517.22,6.19,0.00,0.78,181.34,329.67,8.32,0.00,383.92,29.83,388.29,36.30,23.42,8.90,428520.76,469.21,803.95,71591.25,247831.00,408.13,398670.83,52476518.11,505549.14,0.00,283764.84,20145426.12,40845619.64,1606525.45,0.00,31757348.70,1813408.76,16611616.14
2024-04-01,-9.71,443.06,6.09,0.00,0.50,159.75,334.51,8.34,0.00,352.88,25.69,323.55,36.80,21.00,7.90,361604.14,460.06,562.54,63527.09,244357.79,407.69,345678.89,42084075.48,462729.32,0.00,196241.99,16352663.20,36966485.43,1498993.67,0.00,23297739.37,1609193.15,14697433.82
2024-05-01,-9.48,544.98,6.67,0.00,0.46,249.64,342.80,8.08,0.00,261.70,19.78,237.51,29.40,18.42,6.30,450101.43,498.82,485.08,97589.84,254940.11,483.48,309978.93,55341182.83,596128.95,0.00,104770.51,28331623.72,43651009.24,1619847.65,0.00,16708145.96,1450041.20,10224564.17
2024-06-01,-4.92,628.53,5.84,0.00,0.74,208.83,416.13,4.10,0.00,218.13,10.61,203.09,26.00,14.51,2.40,521639.62,435.95,674.88,82602.44,303730.42,537.57,158977.21,55648583.23,418780.13,0.00,116248.99,18431088.79,43848962.32,547146.44,0.00,14301320.44,743886.82,3154162.77
2024-07-01,-3.89,539.93,5.48,0.00,0.73,274.20,418.10,3.27,0.00,309.74,16.86,221.31,23.20,14.06,3.10,440905.70,408.13,672.61,107061.11,301360.74,476.22,265183.75,55444001.71,477017.46,0.00,72422.91,29020453.03,52184341.81,335977.91,0.00,23091514.62,1150182.74,7135583.68
2024-08-01,-11.86,580.29,5.33,0.00,0.87,257.49,337.71,10.35,0.00,282.04,18.93,264.06,26.00,14.89,3.40,475535.91,397.53,806.08,100867.97,257500.52,478.51,839482.18,65271261.81,528223.21,0.00,125700.81,31402385.92,49487938.83,1354055.65,0.00,22548210.28,1282462.63,7256860.92
2024-09-01,-18.44,412.05,5.52,0.00,1.00,172.68,338.68,16.07,0.00,297.42,19.87,383.81,28.70,15.66,5.70,328057.21,413.29,935.16,68489.43,250231.02,397.95,-61109.16,35222888.45,320243.72,0.00,150919.18,16846800.29,34968133.27,1424141.57,0.00,22667801.55,637996.31,-2106910.78
2024-10-01,-27.72,416.24,6.13,0.00,1.14,169.88,362.99,23.92,0.00,263.17,27.34,440.57,35.50,18.00,6.10,338917.20,457.80,1067.67,67783.10,281069.81,409.40,-130073.02,46822628.84,541554.39,0.00,187043.28,19703873.26,47741882.81,4728776.46,0.00,28919010.90,1674975.81,3695888.14
2024-11-01,-25.12,321.83,5.77,0.00,1.23,218.98,299.79,21.55,0.00,312.91,26.30,441.81,36.70,20.50,7.40,269361.64,430.59,1149.43,85793.03,238853.50,366.50,461891.00,28333592.44,417878.09,0.00,206220.34,22451330.93,34096624.15,2256558.68,0.00,27044370.64,1133507.78,6496837.00
2024-12-01,-37.15,526.38,7.00,0.00,1.29,240.17,299.83,32.22,0.00,373.40,51.83,504.60,43.20,24.58,8.00,428569.82,519.66,1194.25,94064.29,223792.86,374.15,2095721.94,52809340.42,605822.04,0.00,175481.24,24981851.95,38622011.25,3878710.18,0.00,29891807.62,3951789.88,38635544.30
2025-01-01,-33.03,643.80,6.99,0.00,1.50,278.04,349.88,28.02,0.00,348.91,60.45,482.38,44.10,26.28,11.60,531011.27,518.57,1378.65,108530.03,263086.21,417.42,2409644.36,66590705.18,652074.63,0.00,179686.81,29838606.66,44596068.19,3605311.66,0.00,31270269.52,5122885.16,37159275.83
2025-02-01,-34.52,559.89,6.40,-0.62,1.13,229.91,268.57,28.42,0.00,315.88,56.05,415.02,40.50,24.57,12.10,463348.58,471.83,1082.19,89582.97,210310.05,414.27,2334882.01,51750230.36,540154.92,0.00,101478.92,21752883.85,29730288.29,3345267.92,0.00,25702007.34,4099910.68,26160956.31
2025-03-01,-23.54,498.21,6.61,-1.80,0.29,266.37,323.30,19.99,0.00,352.70,51.26,419.14,41.00,24.26,8.80,405669.99,487.89,256.88,103573.56,246129.28,395.35,1308648.44,49049599.23,587645.30,0.00,59055.05,27165922.07,41011381.84,2730649.75,338.67,29456898.39,4317176.70,27944200.84
2025-04-01,-41.11,544.44,6.47,-0.74,1.97,188.88,245.20,35.60,0.01,307.28,32.93,327.48,35.00,20.37,4.70,441567.29,476.86,1168.62,74421.23,208117.69,440.27,2483816.35,50505909.37,565594.90,67690.10,169453.37,17849006.58,29372949.62,3983201.96,982.47,25224339.22,2460333.07,20853599.22
